ID;SENT_FROM_NAME;SENT_FROM_ID;RECIVED_BY_NAME;RECIVED_BY_ID;Absendeort;Absendeort_id;Ankunftsort;Ankunftsort_id;Nummer_Harris;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Signatur;url_facsimile;published_in;published_in_url;Datum;letter_text;status_letter_text;summary_en;persons_mentioned;topics_mentioned;normalized_text;scan_erhalten;upload_transkribus;ATR_processed;ATR_proofread;tei_encoded
lassberg-letter-0521;Johann JakobHorner;lassberg-correspondent-0203;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1796;;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32a;;;;1818-10-09;;;;;;;;;;;
lassberg-letter-0522;Joseph von Laßberg;lassberg-correspondent-0373;Georg Escher vom Berg;lassberg-correspondent-0133;Heiligenberg;lassberg-place-0066;;;296;458;Zürich;Zentralbibliothek;Handschriftenabteilung, FA Escher vL 140.174;;;;1818-10-19;;;;;;;;;;;
lassberg-letter-0523;Joseph von Laßberg;lassberg-correspondent-0373;Johann JakobHorner;lassberg-correspondent-0203;Heiligenberg;lassberg-place-0066;;;297;459;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32;;;;1818-10-19;;;;;;;;;;;
lassberg-letter-0524;Joseph von Laßberg;lassberg-correspondent-0373;Philipp Lüthard;lassberg-correspondent-0323;Heiligenberg;lassberg-place-0066;;;298;461;Luzern;Staatsarchiv;;;;;1818-10-20;;;;;;;;;;;
lassberg-letter-0525;Johann JakobHorner;lassberg-correspondent-0203;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1797;;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32a;;;;1818-10-30;;;;;;;;;;;
lassberg-letter-0526;Johann JakobHorner;lassberg-correspondent-0203;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1798;;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32a;;;;1818-11-20;;;;;;;;;;;
lassberg-letter-0527;Joseph von Laßberg;lassberg-correspondent-0373;Ildefons von Arx;lassberg-correspondent-0169;Eppishausen;lassberg-place-0043;;;299;;St.Gallen;Stiftsbibliothek;;;;;1818-11-26;;;;;;;;;;;
lassberg-letter-0528;Johann Melchior Weber;lassberg-correspondent-0211;Joseph von Laßberg;lassberg-correspondent-0373;Gottlieben;lassberg-place-0058;;;1799;;Luzern;Staatsarchiv;;;;;1818-11-27;;;;;;;;;;;
lassberg-letter-0529;Joseph von Laßberg;lassberg-correspondent-0373;Johann JakobHorner;lassberg-correspondent-0203;Eppishausen;lassberg-place-0043;;;300;;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32;;;;1818-11-28;;;;;;;;;;;
lassberg-letter-0530;Johann JakobHorner;lassberg-correspondent-0203;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1800;;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32a;;;;1818-12-06;;;;;;;;;;;
