ID;SENT_FROM_NAME;SENT_FROM_ID;RECIVED_BY_NAME;RECIVED_BY_ID;Absendeort;Absendeort_id;Ankunftsort;Ankunftsort_id;Nummer_Harris;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Signatur;url_facsimile;published_in;published_in_url;Datum;letter_text;status_letter_text;summary_en;persons_mentioned;topics_mentioned;normalized_text;scan_erhalten;upload_transkribus;ATR_processed;ATR_proofread;tei_encoded
lassberg-letter-0632;Joseph von Laßberg;lassberg-correspondent-0373;Jacob Grimm;lassberg-correspondent-0170;Eppishausen;lassberg-place-0043;;;349;?;;;;;Albert Leitzmann, Briefe des Freiherrn Joseph von Laßberg an Jakob Grimm. In: Sitzungsberichte der Preußischen Akademie der Wissenschaften. Berlin 1931, S. 1026-1105, S. 1039;-;1820-04-14;;;;;;;;;;;
lassberg-letter-0633;Joseph von Laßberg;lassberg-correspondent-0373;Ildefons von Arx;lassberg-correspondent-0169;Eppishausen;lassberg-place-0043;;;350;194;St.Gallen;Stiftsbibliothek;;;;;1820-04-14;;;;;;;;;;;
lassberg-letter-0634;Joseph von Laßberg;lassberg-correspondent-0373;Ludwig I. von Baden;lassberg-correspondent-0284;Heiligenberg;lassberg-place-0066;;;351;197;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1820-04-15;;;;;;;;;;;
lassberg-letter-0635;Joseph von Laßberg;lassberg-correspondent-0373;Hofbibliothek Donaueschingen;lassberg-correspondent-0164;Unbekannt;lassberg-place-0152;;;352;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1820-04-15;;;;;;;;;;;
lassberg-letter-0636;Joseph von Laßberg;lassberg-correspondent-0373;Ildefons von Arx;lassberg-correspondent-0169;Unbekannt;lassberg-place-0152;;;353;201;St.Gallen;Stiftsbibliothek;;;;;1820-04-16;;;;;;;;;;;
lassberg-letter-0637;Joseph von Laßberg;lassberg-correspondent-0373;Philipp Lüthard;lassberg-correspondent-0323;Eppishausen;lassberg-place-0043;;;354;202;Luzern;Staatsarchiv;;;;;1820-04-16;;;;;;;;;;;
lassberg-letter-0638;Artaria (Verlag);lassberg-correspondent-0023;Joseph von Laßberg;lassberg-correspondent-0373;Mannheim;lassberg-place-0100;;;1853;;Luzern;Staatsarchiv;;;;;1820-04-17;;;;;;;;;;;
lassberg-letter-0639;Ludwig Uhland;lassberg-correspondent-0288;Joseph von Laßberg;lassberg-correspondent-0373;Stuttgart;lassberg-place-0147;;;1854;;Marbach am Neckar;Schiller Nationalmuseum;;;Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 7;https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1;1820-04-23;;;;;;;;;;;
lassberg-letter-0640;Philipp Lüthard;lassberg-correspondent-0323;Joseph von Laßberg;lassberg-correspondent-0373;Luzern;lassberg-place-0093;;;1855;;Luzern;Staatsarchiv;;;;;1820-04-24;;;;;;;;;;;
lassberg-letter-0641;Ildefons von Arx;lassberg-correspondent-0169;Joseph von Laßberg;lassberg-correspondent-0373;St. Gallen;lassberg-place-0141;;;1856;;St.Gallen;Stiftsbibliothek;;;;;1820-04-26;;;;;;;;;;;
lassberg-letter-0642;Joseph von Laßberg;lassberg-correspondent-0373;Friedrich Carl von und zu Brenken;lassberg-correspondent-0113;Eppishausen;lassberg-place-0043;;;355;219;Dortmund;Stadt- und Landesbibliothek;;;Volker Schupp, Unbekannte Briefe des Reichsfreiherrn Joseph von Laßberg an Friedrich Carl Freiherrn von und zu Brenken. In: WZ 128(1978), S. 119-59. Ebenso in: Badische Heimat 58 (1978), S. 397-427, S. 128;https://www.lwl.org/westfaelische-geschichte/txt/wz-9494.pdf;1820-04-29;;;;;;;;;;;
lassberg-letter-0643;Karl Egon III. zu Fürstenberg;lassberg-correspondent-0250;Joseph von Laßberg;lassberg-correspondent-0373;Bubenbach;lassberg-place-0033;;;1857;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1820-05-04;;;;;;;;;;;
lassberg-letter-0644;Jacob Grimm;lassberg-correspondent-0170;Joseph von Laßberg;lassberg-correspondent-0373;Kassel;lassberg-place-0075;;;1858;;;;;;Karl Schulte Kemminghausen. Nachtrag zum Briefwechsel zwischen Jakob Grimm und Joseph von Laßberg. In: Sitzungsberichte der Preußischen Akademie der Wissenschaften. Berlin 1933, S. 754-87, S. 755-59;-;1820-05-04;;;;;;;;;;;
lassberg-letter-0645;Karl Philipp Conz;lassberg-correspondent-0264;Joseph von Laßberg;lassberg-correspondent-0373;Tübingen;lassberg-place-0148;;;1859;;Marbach am Neckar;Schiller Nationalmuseum;;;;;1820-05-06;;;;;;;;;;;
lassberg-letter-0646;Johann Caspar Zellweger;lassberg-correspondent-0193;Joseph von Laßberg;lassberg-correspondent-0373;Trogen (Appenzell Ausserrhoden);lassberg-place-0150;;;1860;;Winterthur;Stadtbibliothek;Ms BRH 513/91;;Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 15f/t;https://books.google.de/books?id=KIHHQBvr1nkC;1820-05-24;;;;;;;;;;;
lassberg-letter-0647;Joseph von Laßberg;lassberg-correspondent-0373;Friedrich Carl von und zu Brenken;lassberg-correspondent-0113;Eppishausen;lassberg-place-0043;;;356;251;Erpernburg;Archiv der Freiherren von und zu Brenken;;;Alfred Cohausz, Der Schwager der Annette von Droste. 20 unbekannte Briefe des Reichsfreiherrn Joseph von Laszberg aus den Jahren 1814 (richtig: 1817)-1849. In: WZ 95 (1939), S. 45-87, S. 54;https://www.lwl.org/westfaelische-geschichte/txt/wz-9716.pdf;1820-05-29;;;;;;;;;;;
